,Sample_ID,Sample_Longitude,Sample_Latitude,log10-error
0,S19S_0006-D,-76.717163,39.311369,3.1103121007458183
1,S19S_0006-M,-76.717316,39.31162,2.4525750145629632
2,S19S_0006-U,-76.717476,39.311813,2.378968704355814
3,S19S_0007-D,-119.195598,37.05255,1.815246672411533
4,S19S_0007-U,-119.195359,37.05229,1.7730558840950776
5,S19S_0008-D,-119.027785,36.961112,1.8761833774488657
6,S19S_0008-M,-119.028281,36.961369,1.8574171321300006
7,S19S_0008-U,-119.028254,36.961273,1.8282346261545432
8,S19S_0009-D,-108.3983,42.9877,2.018437132115238
9,S19S_0009-M,-108.3983,42.9876,2.0284358542644343
10,S19S_0009-U,-108.3982,42.9875,2.0753159156369363
11,S19S_0010-D,-81.840062,31.667875,1.991469530298603
12,S19S_0010-M,-81.839976,31.667835,1.9853588848131438
13,S19S_0010-U,-81.8403,31.667905,1.8910630524748135
14,S19S_0011-D,-83.437674,33.955686,2.4179255186884268
15,S19S_0011-M,-83.438589,33.957827,3.2827685741107913
16,S19S_0011-U,-83.437673,33.95569,2.6856552319127425
17,S19S_0012-D,-72.33027,42.47179,1.8332583728343632
18,S19S_0012-M,-72.33038,42.47157,1.8126289584744086
19,S19S_0012-U,-72.33105,42.47178,1.8347858447022467
20,S19S_0013-D,-78.1476,38.8952,2.854613668937788
21,S19S_0013-M,-78.1474,38.8945,2.3416983038935086
22,S19S_0013-U,-78.1474,38.8944,2.3751757583844118
23,S19S_0014-D,-77.9808,39.0941,2.9327795397731236
24,S19S_0014-M,-77.9812,39.0942,3.3248528174150622
25,S19S_0014-U,-77.9815,39.0944,2.7664478726968404
26,S19S_0015-D,-84.439009,31.184396,2.029551727665875
27,S19S_0015-M,-84.437802,31.184508,2.071224130777791
28,S19S_0015-U,-84.437254,31.185895,2.0406078259072915
29,S19S_0016-D,-96.6025,39.10445,2.4143074281305412
30,S19S_0016-M,-96.60286,39.10429,3.1714860957174236
31,S19S_0016-U,-96.60276,39.10415,2.3956087898636804
32,S19S_0017-D,-96.44355,38.94668,2.227290368949788
33,S19S_0017-M,-96.44379,38.94667,2.3188729213039445
34,S19S_0017-U,-96.44389,38.94684,2.297712600517175
35,S19S_0018-D,-83.504941,35.6922935,1.8231923508114047
36,S19S_0018-M,-83.5044488,35.692083,1.8433996557318593
37,S19S_0018-U,-83.5041467,35.6918387,1.7936981213021315
38,S19S_0019-D,-84.278999,35.9563807,2.2122956560485982
39,S19S_0019-M,-84.2789099,35.956601,2.1188615423021466
40,S19S_0019-U,-84.2786976,35.9572803,2.194404877932991
41,S19S_0020-D,-88.15755,31.85294,2.182711558548709
42,S19S_0020-M,-88.1575,31.85302,3.090517603954851
43,S19S_0020-U,-88.15748,31.8531,2.1588872109172987
44,S19S_0021-D,-87.79835,32.54069,3.3561284785472205
45,S19S_0021-M,-87.79828,32.54082,2.324660082677494
46,S19S_0021-U,-87.79821,32.54108,2.3007335935127853
47,S19S_0022-D,-87.40811,32.96161,1.8616255094928618
48,S19S_0022-M,-87.40821,32.96156,1.8610278448009518
49,S19S_0022-U,-87.40828,32.96142,1.8640079771559401
50,S19S_0023-D,-102.44896,39.75841,2.0549794060592106
51,S19S_0023-M,-102.44896,39.75861,2.09379172692601
52,S19S_0023-U,-102.44917,39.75854,1.8286966202699204
53,S19S_0024-D,-96.6227,34.44205,1.515607660319042
54,S19S_0024-M,-96.62255,34.44223,2.1657489700182886
55,S19S_0024-U,-96.62259,34.44251,1.6476772641870565
56,S19S_0025-D,-97.78275,33.37853,2.118808216210634
57,S19S_0025-M,-97.78307,33.37834,2.0690921674052514
58,S19S_0025-U,-97.78338,33.37834,2.188237605627449
59,S19S_0026-D,-105.54327,40.03489,1.7047716315280603
60,S19S_0026-M,-105.54371,40.03496,1.8165224616848175
61,S19S_0026-U,-105.54393,40.03497,1.7994261476682407
62,S19S_0027-D,-105.91125,39.89064,1.8040889678069543
63,S19S_0027-M,-105.91152,39.89078,1.7938085280597205
64,S19S_0027-U,-105.91164,39.89071,1.7699869677054025
65,S19S_0028-D,-111.507871,33.750675,1.9915909799107958
66,S19S_0028-M,-111.508001,33.750788,1.8704178145238746
67,S19S_0028-U,-111.508141,33.750837,1.9590050076945456
68,S19S_0029-D,-111.80126,40.78319,1.793483916430008
69,S19S_0029-M,-111.79582,40.78466,1.4907465615805744
70,S19S_0029-U,-111.79547,40.78464,2.1162627042809663
71,S19S_0030-U,-121.929928,45.792233,1.8476721682537682
72,S19S_0031-D,-122.1650676,44.2602628,1.7485660802161644
73,S19S_0031-M,-122.1647132,44.2602364,1.753879910719708
74,S19S_0031-U,-122.1642723,44.2605576,1.7528069871457086
75,S19S_0032-D,-119.02313,39.95545,2.1399802188778416
76,S19S_0032-M,-119.02367,36.95503,1.8972092683510728
77,S19S_0032-U,-119.02375,36.95497,1.5549012448761934
78,S19S_0033-D,-119.2554,37.0576,1.830885961246371
79,S19S_0033-M,-119.2557,37.0582,1.8328687127639578
80,S19S_0033-U,-119.256,37.0581,1.8187955104155102
81,S19S_0034-D,-106.5233,35.8677,1.2752106370822127
82,S19S_0034-M,-106.5232,35.8678,1.9488254034633021
83,S19S_0034-U,-106.5233,35.868,1.8415119536774571
84,S19S_0035-D,-110.757838,32.42735,1.816668597958657
85,S19S_0035-M,-110.758821,32.42728,1.8486476653913122
86,S19S_0035-U,-110.759543,32.327329,1.857827585405521
87,S19S_0036-D,-119.271902,46.372515,1.555161923607172
88,S19S_0036-M,-119.271921,46.372735,1.8590516586682124
89,S19S_0036-U,-119.271963,46.372753,1.7809332284258677
90,S19S_0037-D,-75.7830393,39.8577967,2.037997649324312
91,S19S_0037-M,-75.7830477,39.8578837,2.0084018961556764
92,S19S_0037-U,-75.7831181,39.8579143,2.0108231820135045
93,S19S_0038-D,-75.7839486,39.8594333,2.0397449409671946
94,S19S_0038-M,-75.7840693,39.8595115,2.0532837927354395
95,S19S_0038-U,-75.784143,39.8595761,2.0247460140068947
96,S19S_0039-D,-84.359197,35.966194,2.9249390800350668
97,S19S_0039-M,-84.358455,35.966319,2.9130891814700894
98,S19S_0039-U,-84.357361,35.966243,2.936899170893979
99,S19S_0040-D,-96.584725,39.087889,2.3834412770838953
100,S19S_0040-M,-96.584798,39.087692,2.3177325560923805
101,S19S_0040-U,-96.58479,39.08766,3.2099486533820856
102,S19S_0041-D,-120.858196,44.299994,2.098638905853261
103,S19S_0041-M,-120.858255,44.300038,1.6179288551169146
104,S19S_0041-U,-120.85829,44.300082,1.9120551488631705
105,S19S_0042-D,-80.96434,25.40976,2.041579434179348
106,S19S_0042-M,-80.96423,25.40979,1.9917456364516672
107,S19S_0042-U,-80.96423,25.40982,1.8975573279750042
108,S19S_0043-D,-89.472992,43.14501,2.3058008128369676
109,S19S_0043-M,-89.472023,43.145025,2.2839322033060165
110,S19S_0044-D,-79.811134,33.131027,2.945677630346129
111,S19S_0044-M,-79.810626,33.130966,2.950026514353989
112,S19S_0044-U,-79.810168,33.130796,1.0953560074146889
113,S19S_0047-D,-149.40333,68.64278,2.793399055440064
114,S19S_0047-M,-149.40339,68.64274,2.7162957361896978
115,S19S_0047-U,-149.40346,68.6427,3.3164631499488313
116,S19S_0050-D,-149.14198,68.66953,1.957765423831894
117,S19S_0050-M,-149.14041,68.66967,1.931066279958089
118,S19S_0050-U,-149.5972,68.62722,2.0184680490997033
119,S19S_0051-D,-147.50267,65.1531,1.914449008449151
120,S19S_0051-M,-147.50249,65.15298,1.580583022957748
121,S19S_0051-U,-147.80559,64.85568,2.4828206887554245
122,S19S_0052-D,-74.69563,42.13187,1.9657983919316409
123,S19S_0052-M,-74.69546,42.13233,1.7544775423564296
124,S19S_0052-U,-74.69548,42.13247,1.9629699280709
125,S19S_0053-D,-73.00222222,41.869567,1.7941071585534971
126,S19S_0053-M,-72.796633,41.869617,1.7398609967930319
127,S19S_0053-U,-72.796767,41.869583,1.9155924083205143
128,S19S_0054-D,-77.0237,37.57261,1.7405677149796468
129,S19S_0054-M,-77.0237,37.57267,2.451119859229049
130,S19S_0054-U,-77.02396,37.5728,2.7114241819392584
131,S19S_0055-D,-117.180863,46.732428,2.995875883755555
132,S19S_0055-M,-117.180621,46.732323,2.6304900984980897
133,S19S_0055-U,-117.180384,46.7322206,2.691303608995539
134,S19S_0059-D,-117.3915976,48.16874998,3.0965026380745666
135,S19S_0059-M,-117.3913007,48.16841972,2.0870071216415464
136,S19S_0059-U,-117.3903992,48.16859001,2.1615835072672325
137,S19S_0060-D,-119.4768203,46.2531882,2.0123459267512045
138,S19S_0060-M,-119.4769597,46.253117,2.0572991434251295
139,S19S_0060-U,-119.4772256,46.2530248,2.065294123874443
140,S19S_0061-D,-89.6407,43.1095,2.1198981970998148
141,S19S_0061-M,-89.6405,43.1095,2.0694637611712214
142,S19S_0062-D,-106.950417,38.544583,1.8781446928291563
143,S19S_0062-M,-106.950472,38.544667,1.7503107511464664
144,S19S_0062-U,-106.950056,38.544778,1.8820939243719832
145,S19S_0063-D,-97.709399,30.250335,2.0719018407502623
146,S19S_0063-M,-97.70953,30.250384,2.0692068820554272
147,S19S_0063-U,-97.709566,30.250278,2.0705010725854502
148,S19S_0064-D,-78.00803,40.61043,2.070772256621086
149,S19S_0064-M,-78.00808,40.64061,2.2602780023305753
150,S19S_0064-U,-78.00688,40.61507,2.2235708524001763
151,S19S_0066-D,-106.643178,35.19845,3.028174390483056
152,S19S_0066-M,-106.643131,35.198511,3.00719090228594
153,S19S_0066-U,-106.643074,35.198601,3.187674530358409
154,S19S_0067-D,-85.35412,42.3921,2.6787890986727807
155,S19S_0067-M,-85.354,42.39201,2.5521479275402412
156,S19S_0067-U,-85.35402,42.39193,2.9006033681038303
157,S19S_0068-U,-122.257915,44.207269,1.7552755922753769
158,S19S_0069-D,-123.735151,39.362202,1.7965112304034907
159,S19S_0069-M,-123.734753,39.362129,1.7958168135652979
160,S19S_0069-U,-123.734848,39.362343,1.7936570379582977
161,S19S_0070-D,-123.752414,39.339914,1.7844318479914323
162,S19S_0070-M,-123.752441,39.339892,1.7827878471311915
163,S19S_0070-U,-123.752011,39.339682,1.7716168820288458
164,S19S_0071-D,-105.458575,40.012917,1.742767183871181
165,S19S_0071-M,-105.4589026,40.0128376,1.3278768141537465
166,S19S_0071-U,-105.4588818,40.0129961,1.935685355221716
167,S19S_0072-D,-71.1848201,42.5235645,1.8532552119682935
168,S19S_0072-M,-71.18851406,42.5235479,1.8520968033608602
169,S19S_0072-U,-71.1854501,42.5233858,1.7288989941873727
170,S19S_0073-D,-70.9164986,42.7688065,1.7710227171264488
171,S19S_0073-M,-70.9167967,42.7694593,1.804570072484977
172,S19S_0074-D,-119.272998,46.376172,1.8572454967745136
173,S19S_0074-M,-119.272953,46.376303,1.8706120949418068
174,S19S_0074-U,-119.272955,46.376327,1.8580893071801725
175,S19S_0075-D,-119.465555,46.694742,1.8397726602304052
176,S19S_0075-M,-119.465591,46.694842,1.8596599262885711
177,S19S_0075-U,-119.465706,46.694858,1.856347530531107
178,S19S_0076-D,-119.462605,46.679191,1.8260822503024927
179,S19S_0076-M,-119.46257,46.679318,1.8497334970519945
180,S19S_0076-U,-119.462645,46.679398,1.7806855426825843
181,S19S_0077-D,-105.223141,40.66403,1.822493686818246
182,S19S_0077-M,-105.223622,40.664282,1.8306515394997116
183,S19S_0077-U,-105.224786,40.664703,1.8237988591857346
184,S19S_0080-D,-106.681374,34.950811,2.0358074556614763
185,S19S_0080-M,-106.681271,34.950833,1.9613470744270045
186,S19S_0080-U,-106.681382,34.950903,1.8810672740839547
187,S19S_0081-U,-76.9259674,38.9603293,2.0952435965117124
188,S19S_0082-D,-76.5465418,38.8748619,2.0818816085949585
189,S19S_0082-M,-76.5464751,38.8748139,2.0738959248462074
190,S19S_0082-U,-76.5464942,38.8749661,1.8676940764452605
191,S19S_0083-D,-88.3227,40.31083,2.256296921229339
192,S19S_0083-M,-88.3227,40.31083,2.2335166624112763
193,S19S_0083-U,-88.3227,40.31083,2.084951739583307
194,S19S_0084-D,-71.722778,43.954722,1.7820761771163942
195,S19S_0084-M,-71.722778,43.954722,1.776517451239316
196,S19S_0084-U,-71.722778,43.954722,1.7896138917388593
197,S19S_0085-D,-115.9902503,43.6479639,1.9735862865768128
198,S19S_0085-M,-115.98908,43.64815,1.9598485107098218
199,S19S_0085-U,-115.98891,43.64819,1.9544802302296105
200,S19S_0086-D,-111.8064,40.7797,2.1020428804707842
201,S19S_0086-M,-111.8054,40.7799,2.1409355995494317
202,S19S_0086-U,-111.8054,40.7801,1.9500537397019244
203,S19S_0087-D,-116.7743431,43.1233451,2.8767510909129084
204,S19S_0087-M,-116.7744702,43.1233625,2.3010432121549114
205,S19S_0087-U,-116.7745057,43.1231912,2.30656673779764
206,S19S_0089-D,-80.44539,37.21008,2.618379626087078
207,S19S_0089-M,-80.44529,37.21012,2.566516355042047
208,S19S_0089-U,-80.44513,37.21014,2.858881776722228
209,S19S_0090-D,-75.930606,37.291383,1.8232060633673635
210,S19S_0090-M,-75.930615,37.291374,2.0252603393394852
211,S19S_0090-U,-75.930807,37.291396,2.024522153827011
212,S19S_0097-D,-111.8865,41.720847,2.368355305973833
213,S19S_0097-M,-111.886477,41.720805,2.420099041588838
214,S19S_0097-U,-111.88642,41.720744,3.093054905320916
215,S19S_0098-D,-111.580533,41.950204,2.0267924498417176
216,S19S_0098-M,-111.580451,41.950345,2.055123867225058
217,S19S_0098-U,-111.580465,41.950373,2.0058385722468914
218,S19S_0099-D,-84.7119066,39.2385932,2.1410244053240706
219,S19S_0099-M,-84.7121004,39.2386399,2.1303479652315525
220,S19S_0099-U,-84.7123967,39.2386771,2.145023565152701
221,S19S_0100-D,-106.950961,38.92352,1.5778046484614074
222,S19S_0100-M,-106.950743,38.922712,1.8459486683082786
223,S19S_0100-U,-106.95145,38.922389,1.8721984726946763
224,SSS001-1,-120.5731,46.0417,2.5813191739702464
225,SSS001-2,-120.5731,46.0417,3.082456480866438
226,SSS001-3,-120.5731,46.0417,3.0725711856294455
227,SSS002-1,-120.5476,46.0959,2.0388225746990654
228,SSS002-2,-120.5476,46.0959,2.039933191761011
229,SSS002-3,-120.5476,46.0959,2.032542021754043
230,SSS003-1,-120.4811,46.2059,2.07984982282683
231,SSS003-2,-120.4811,46.2059,2.100180506117747
232,SSS003-3,-120.4811,46.2059,1.9518952185672698
233,SSS004-1,-120.8161,46.6659,2.739222379929994
234,SSS004-2,-120.8161,46.6659,2.6672640463164816
235,SSS004-3,-120.8161,46.6659,2.8826029550803596
236,SSS005-1,-120.4612,46.5814,2.061938622889514
237,SSS005-2,-120.4612,46.5814,2.0640797848700427
238,SSS005-3,-120.4612,46.5814,2.0639673549258974
239,SSS006-1,-120.6206,46.6218,2.3068698307524476
240,SSS006-2,-120.6206,46.6218,2.308943068862388
241,SSS006-3,-120.6206,46.6218,2.228496617114271
242,SSS007-1,-121.1237,46.6646,1.7627622845456863
243,SSS007-2,-121.1237,46.6646,1.7802536592667313
244,SSS007-3,-121.1237,46.6646,1.7450838734622445
245,SSS008-1,-121.0893,46.6592,2.8236051099169552
246,SSS008-2,-121.0893,46.6592,2.9130562159445517
247,SSS008-3,-121.0893,46.6592,2.8648436391175784
248,SSS009-1,-121.1511,46.6168,1.802449903700069
249,SSS009-2,-121.1511,46.6168,1.801010199221255
250,SSS009-3,-121.1511,46.6168,1.7958290827145371
251,SSS010-1,-121.0675,46.8095,1.786865524580873
252,SSS010-2,-121.0675,46.8095,1.7852307278344655
253,SSS010-3,-121.0675,46.8095,1.7855154827236535
254,SSS011-1,-121.0672,46.8099,1.7306699033600865
255,SSS011-2,-121.0672,46.8099,1.7431653378897585
256,SSS011-3,-121.0672,46.8099,1.7360463853620318
257,SSS012-1,-120.8178,46.7521,1.7980102018156583
258,SSS012-2,-120.8178,46.7521,1.6092454595628032
259,SSS012-3,-120.8178,46.7521,1.9299668702579735
260,SSS013-1,-119.474,46.2554,2.012852178434389
261,SSS013-2,-119.474,46.2554,2.031099486479254
262,SSS013-3,-119.474,46.2554,2.0293169909706252
263,SSS014-1,-119.9999,46.232,2.9262965377377927
264,SSS014-2,-119.9999,46.232,3.0497331368936105
265,SSS014-3,-119.9999,46.232,2.782644024704925
266,SSS015-1,-120.4704,46.5302,1.9971473812895848
267,SSS015-2,-120.4704,46.5302,1.9433723855388796
268,SSS015-3,-120.4704,46.5302,1.9358362011408765
269,SSS016-1,-120.7135,46.7288,1.637931875492865
270,SSS016-3,-120.7135,46.7288,1.1539913770450536
271,SSS017-1,-120.6553,46.6856,1.926063425120998
272,SSS017-2,-120.6553,46.6856,1.9247742695991588
273,SSS017-3,-120.6553,46.6856,1.9279131119975121
274,SSS018-1,-121.1357,47.0171,1.7917665980645208
275,SSS018-2,-121.1357,47.0171,1.762459680904561
276,SSS018-3,-121.1357,47.0171,1.7951207351055025
277,SSS019-1,-121.1285,47.0195,1.8296874553622922
278,SSS019-2,-121.1285,47.0195,1.775753563319091
279,SSS019-3,-121.1285,47.0195,1.7241911330459359
280,SSS020-1,-121.0983,46.9891,1.4421432833774
281,SSS020-2,-121.0983,46.9891,1.9688029323614127
282,SSS020-3,-121.0983,46.9891,1.5713424577827897
283,SSS021-1,-121.1082,47.3543,1.8021432769689616
284,SSS021-2,-121.1082,47.3543,1.7555538651316829
285,SSS021-3,-121.1082,47.3543,1.7331000108445516
286,SSS022-1,-121.1073,47.4636,1.7791635264525754
287,SSS022-2,-121.1073,47.4636,1.7772093612968611
288,SSS022-3,-121.1073,47.4636,1.7834748892559529
289,SSS023-1,-120.6423,46.8986,2.868425294158212
290,SSS023-2,-120.6423,46.8986,3.015819460043734
291,SSS023-3,-120.6423,46.8986,2.7044532193254285
292,SSS024-1,-120.7125,46.8331,2.0972529527141766
293,SSS024-2,-120.7125,46.8331,2.670662079754875
294,SSS024-3,-120.7125,46.8331,1.9913091374863567
295,SSS025-1,-120.1377,46.2752,2.515403932417769
296,SSS025-2,-120.1377,46.2752,2.605913808796872
297,SSS025-3,-120.1377,46.2752,2.6605859341694327
298,SSS026-1,-120.1991,46.3147,2.6337242784554746
299,SSS026-2,-120.1991,46.3147,2.5248287310833954
300,SSS026-3,-120.1991,46.3147,2.551531276861379
301,SSS027-1,-120.4197,46.2354,2.144957298256256
302,SSS027-2,-120.4197,46.2354,2.1430557503328758
303,SSS027-3,-120.4197,46.2354,2.1365718895961003
304,SSS028-1,-120.8717,46.2902,1.9842648864753156
305,SSS028-2,-120.8717,46.2902,2.013560614021727
306,SSS028-3,-120.8717,46.2902,2.011789043391044
307,SSS029-1,-120.7891,46.3111,2.0153966757557846
308,SSS029-2,-120.7891,46.3111,2.068144314638009
309,SSS029-3,-120.7891,46.3111,1.9873480573499758
310,SSS030-1,-120.6704,46.3656,2.0431481667557287
311,SSS030-2,-120.6704,46.3656,2.06113393957037
312,SSS030-3,-120.6704,46.3656,2.04240040444281
313,SSS031-1,-121.094,46.6674,1.7490665525423226
314,SSS031-2,-121.094,46.6674,1.7746877005747086
315,SSS031-3,-121.094,46.6674,1.755824534968002
316,SSS032-1,-121.2901,46.6399,1.766228335090861
317,SSS032-2,-121.2901,46.6399,1.7666744884126557
318,SSS032-3,-121.2901,46.6399,1.7699323494114851
319,SSS033-1,-121.2631,46.6382,1.7709497518856414
320,SSS033-2,-121.2631,46.6382,1.75901235679309
321,SSS033-3,-121.2631,46.6382,1.771831967262334
322,SSS034-1,-121.0977,47.3966,1.7794635054920147
323,SSS034-2,-121.0977,47.3966,1.7809043932727435
324,SSS034-3,-121.0977,47.3966,1.7814794124960183
325,SSS035-1,-121.104,47.3956,1.772333216234845
326,SSS035-2,-121.104,47.3956,1.7754034001295134
327,SSS035-3,-121.104,47.3956,1.78140757671528
328,SSS036-1,-120.7743,46.8674,2.0298492127587857
329,SSS036-2,-120.7743,46.8674,2.019302161048819
330,SSS036-3,-120.7743,46.8674,1.9862105220494788
331,SSS037-1,-120.6496,46.0168,1.9855148690921216
332,SSS037-2,-120.6496,46.0168,1.9576057741324269
333,SSS037-3,-120.6496,46.0168,1.9996510520422455
334,SSS038-1,-120.6364,46.029,2.0249883978580896
335,SSS038-2,-120.6364,46.029,2.018128312347659
336,SSS038-3,-120.6364,46.029,2.0032129083648402
337,SSS039-1,-120.6115,46.0284,2.004686739317699
338,SSS039-2,-120.6115,46.0284,1.9955694118149605
339,SSS039-3,-120.6115,46.0284,2.0101515143606212
340,SSS040-1,-120.9404,46.6833,1.8000750177727642
341,SSS040-2,-120.9404,46.6833,1.8190609040840091
342,SSS040-3,-120.9404,46.6833,1.8240387984338222
343,SSS041-1,-120.8135,46.7239,1.8114103371858086
344,SSS041-2,-120.8135,46.7239,1.79102666639279
345,SSS041-3,-120.8135,46.7239,1.8342644748806864
346,SSS042-1,-120.8041,46.7298,1.8647212646268585
347,SSS042-2,-120.8041,46.7298,1.8596511877491737
348,SSS042-3,-120.8041,46.7298,1.8709036699737907
349,SSS043-1,-121.2466,46.9006,1.7739611610866124
350,SSS043-2,-121.2466,46.9006,1.7692584058031717
351,SSS043-3,-121.2466,46.9006,1.7888320468112988
352,SSS044-1,-121.158,46.9754,1.771616579484244
353,SSS044-2,-121.158,46.9754,1.7788308232241854
354,SSS044-3,-121.158,46.9754,1.7857138374746244
355,SSS045-1,-121.1579,46.976,1.784360205154956
356,SSS045-2,-121.1579,46.976,1.7679269628942862
357,SSS045-3,-121.1579,46.976,1.7799135111429576
358,SSS046-1,-120.8346,47.1683,1.8809800323726855
359,SSS046-2,-120.8346,47.1683,1.6737499465807677
360,SSS046-3,-120.8346,47.1683,1.8640310272895302
361,SSS047-1,-120.9213,47.1857,1.9946805891785377
362,SSS047-2,-120.9213,47.1857,1.1804880479631104
363,SSS047-3,-120.9213,47.1857,1.9860665798488497
364,SSS048-1,-120.7334,47.0822,1.949808212304297
365,SSS048-2,-120.7334,47.0822,1.9530622521448433
366,SSS048-3,-120.7334,47.0822,1.9615416128104923
