Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
0,N/A,Default column header for Pandas Index in .csv files written by Pandas .to_csv(). For generality Pandas Index values are often read as text. These values are not used in the analysis and are output by default.,text,column_header
aet_mm_cdi,millimeters,Range of annual minimum and maximum actual evapotranspiration over reach catchment derived from RiverAtlas data.,numeric,column_header
aet_mm_cyr,millimeters,Annual average actual evapotranspiration over reach catchment.,numeric,column_header
aet_mm_uyr,millimeters,Annual average actual evapotranspiration over all upstream watershed.,numeric,column_header
AI,N/A,Aromaticity index calculated as per Koch and Dittmar; 2006; 2015.,numeric,column_header
AI_Mod,N/A,Modified aromaticity index calculated as per Koch and Dittmar; 2006; 2016.,numeric,column_header
Algal_Mat_Coverage,N/A,Estimated algal mat cover on riverbed. One of the following classes may be selected: >70%; 30-70%; 5-30%; or none. For machine learning (ML) these text classes are converted to an integer scale: 4; 3; 2; 1 respectively.,numeric,column_header
C_percent,percent,"Percent total organic carbon in fewer than 2 millimeter sediment samples. This column is called ""61033_C_percent"" in the published data package; here we dropped the USGS parameter code.",numeric,column_header
Canopy_Cover,N/A,Estimated canopy coverage over the river only. Total riparian zone canopy cover does not apply. One of the following classes may be selected: >70%; 30-70%; 5-30%; or none. For machine learning (ML) these text classes are converted to an integer scale: 4; 3; 2; 1 respectively.,numeric,column_header
cly_pc_cav,percent,Clay fraction in soil over reach catchment.,numeric,column_header
cly_pc_uav,percent,Clay fraction in soil over all upstream catchment.,numeric,column_header
cmi_ix_cdi,N/A,Range of annual minimum and maximum climate moisture index derived from RiverAtlas data.,numeric,column_header
cmi_ix_cyr,N/A,Annual average climate moisture index over reach catchment.,numeric,column_header
cmi_ix_uyr,N/A,Annual average climate moisture index over all upstream watershed.,numeric,column_header
Column_or_Row_Name,N/A,Column or row headers from each comma-separated values (CSV) file in the dataset.,text,column_header
combined.metric,N/A,Non-dimensional index equally weighting the estimated prediction error in the machine learning (ML) model and how different that site is from the other available sites to sample as determined by principle component analysis (PCA).,numeric,column_header
crp_pc_cse,percent,Cropland extent over reach catchment.,numeric,column_header
crp_pc_use,percent,Cropland extent over all upstream watershed.,numeric,column_header
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header
Date_End,YYYY-MM-DD,The latest date in the file.,date,column_header
Date_Start,YYYY-MM-DD,The earliest date in the file.,date,column_header
DBE,N/A,Double bond equivalent or degree of unsaturation calculated as per Koch and Dittmar; 2006; 2017.,numeric,column_header
DBE_O,N/A,Double bond equivalent minus Oxygen calculated as per Koch and Dittmar; 2006; 2018.,numeric,column_header
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header
del_13C_permil,permil,"Delta 13 C. Stable isotopic composition of carbon (delta carbon-13/carbon-12). Presented in units of permil. Also known as (1) per mil; (2) per mille; or (3) parts per thousand. This column is called ""63515_del_13C_permil"" in the published data package; here we dropped the USGS parameter code.",numeric,column_header
del_15N_permil,permil,"Delta 15 N. Stable isotopic composition of nitrogen (delta nitrogen-15/nitrogen-14). Presented in units of permil. Also known as (1) per mil; (2) per mille; or (3) parts per thousand. This column is called ""82338_del_15N_permil"" in the published data package; here we dropped the USGS parameter code.",numeric,column_header
delGcox0PerCmol,kilojoules_per_degree_Celsius_per_mole,Gibbs free energy of the carbon oxidation half reaction under standard conditions (pH = 0). Calculated as per LaRowe and Van Cappellen; 2011.,numeric,column_header
delGcoxPerCmol,kilojoules_per_degree_Celsius_per_mole,Gibbs free energy of the carbon oxidation half reaction at pH 7. Calculated as per Song et al.; 2020.,numeric,column_header
delGd,kilojoules_per_Compound_per_mole,Gibbs free energy of the carbon oxidation half reaction per compound mol at pH 7. Calculated as per Song et al.; 2020.,numeric,column_header
delGd0,kilojoules_per_Compound_per_mole,Gibbs free energy of the carbon oxidation half reaction per compound mol at pH 0. Calculated as per Song et al.; 2023.,numeric,column_header
Depositional_Type_-1hot-_Downstream from obstacles,N/A,One of 9 river deposition classes (Downstream from obstacles) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
Depositional_Type_-1hot-_Downstream of small tributary,N/A,One of 9 river deposition classes (Downstream of small tributary) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
Depositional_Type_-1hot-_Inside bend of a stream,N/A,One of 9 river deposition classes (Inside bend of a stream) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
Depositional_Type_-1hot-_Marsh,N/A,One of 9 river deposition classes (Marsh) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
Depositional_Type_-1hot-_Pool lip,N/A,One of 9 river deposition classes (Pool lip) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
Depositional_Type_-1hot-_Riffle,N/A,One of 9 river deposition classes (Riffle) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
Depositional_Type_-1hot-_run edge,N/A,One of 9 river deposition classes (run edge) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
Depositional_Type_-1hot-_Shallow waters near the shore,N/A,One of 9 river deposition classes (Shallow waters near the shore) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
Depositional_Type_-1hot-_Upstream of weir barrier deposition,N/A,One of 9 river deposition classes (Upstream of weir barrier deposition) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
dist_m,meters,Distance between RiverAtlas site and closest observation/GLORICH (GLObal RIver Chemistry Database) site used for colocation.,numeric,column_header
dor_pc_pva,percent,Degree of dam regulation on reach.,numeric,column_header
ele_mt_cav,meters,Mean elevation over reach catchment.,numeric,column_header
ero_kh_cav,killigrams_per_hectar_per_year,Average soil erosion rate over reach catchment.,numeric,column_header
ero_kh_uav,killigrams_per_hectar_per_year,Average soil erosion rater over all upstream watershed.,numeric,column_header
File_Description,N/A,Description of a file in repository.,text,column_header
File_Name,N/A,Name of file in repository.,text,column_header
File_Path,N/A,Location of file in repository.,text,column_header
for_pc_cse,percent,Forest cover extent over reach catchment.,numeric,column_header
for_pc_use,percent,Forest cover extent over all upstream watershed.,numeric,column_header
FPI_Ratio_0,N/A,Feature permutation index (FPI) improvement ratio from the 0th SuperLearner (SL) ensemble member.,numeric,column_header
FPI_Ratio_1,N/A,Feature permutation index (FPI) improvement ratio from the 1st SuperLearner (SL) ensemble member.,numeric,column_header
FPI_Ratio_2,N/A,Feature permutation index (FPI) improvement ratio from the 2nd SuperLearner (SL) ensemble member.,numeric,column_header
FPI_Ratio_3,N/A,Feature permutation index (FPI) improvement ratio from the 3rd SuperLearner (SL) ensemble member.,numeric,column_header
FPI_Ratio_4,N/A,Feature permutation index (FPI) improvement ratio from the 4th SuperLearner (SL) ensemble member.,numeric,column_header
FPI_Ratio_5,N/A,Feature permutation index (FPI) improvement ratio from the 5th SuperLearner (SL) ensemble member.,numeric,column_header
FPI_Ratio_6,N/A,Feature permutation index (FPI) improvement ratio from the 6th SuperLearner (SL) ensemble member.,numeric,column_header
FPI_Ratio_7,N/A,Feature permutation index (FPI) improvement ratio from the 7th SuperLearner (SL) ensemble member.,numeric,column_header
FPI_Ratio_8,N/A,Feature permutation index (FPI) improvement ratio from the 8th SuperLearner (SL) ensemble member.,numeric,column_header
FPI_Ratio_9,N/A,Feature permutation index (FPI) improvement ratio from the 9th SuperLearner (SL) ensemble member.,numeric,column_header
gdp_md_cav,united_states_dollars,Average gross domestic product (GDP) over reach catchment.,numeric,column_header
gdp_md_usu,united_states_dollars,Sum gross domestic product (GDP) over all upstream watershed.,numeric,column_header
General_Vegetation_-1hot-_Broadleaf deciduous tree,N/A,One of 21 vegetation classes (Broadleaf deciduous tree) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Broadleaf deciduous tree. Crop,N/A,One of 21 vegetation classes (Broadleaf deciduous tree; Crop) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Broadleaf deciduous tree. Grass,N/A,One of 21 vegetation classes (Broadleaf deciduous tree; Grass) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Broadleaf deciduous tree. Shrub,N/A,One of 21 vegetation classes (Broadleaf deciduous tree; Shrub) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Broadleaf evergreen tree,N/A,One of 21 vegetation classes (Broadleaf evergreen tree) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Broadleaf evergreen tree. Broadleaf deciduous tree,N/A,One of 21 vegetation classes (Broadleaf evergreen tree; Broadleaf deciduous tree) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Broadleaf evergreen tree. Grass,N/A,One of 21 vegetation classes (Broadleaf evergreen tree; Grass) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Broadleaf evergreen tree. Shrub,N/A,One of 21 vegetation classes (Broadleaf evergreen tree; Shrub) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Grass,N/A,One of 21 vegetation classes (Grass) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf deciduous tree. Broadleaf deciduous tree,N/A,One of 21 vegetation classes (Needleleaf deciduous tree; Broadleaf deciduous tree) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf deciduous tree. Broadleaf evergreen tree,N/A,One of 21 vegetation classes (Needleleaf deciduous tree; Broadleaf evergreen tree) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf deciduous tree. Grass,N/A,One of 21 vegetation classes (Needleleaf deciduous tree; Grass) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf deciduous tree. Shrub,N/A,One of 21 vegetation classes (Needleleaf deciduous tree; Shrub) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf evergreen tree,N/A,One of 21 vegetation classes (Needleleaf evergreen tree) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf deciduous tree,N/A,One of 21 vegetation classes (Needleleaf evergreen tree; Broadleaf deciduous tree) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf evergreen tree,N/A,One of 21 vegetation classes (Needleleaf evergreen tree; Broadleaf evergreen tree) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf evergreen tree. Grass,N/A,One of 21 vegetation classes (Needleleaf evergreen tree; Grass) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf evergreen tree. Needleleaf deciduous tree,N/A,One of 21 vegetation classes (Needleleaf evergreen tree; Needleleaf deciduous tree) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Needleleaf evergreen tree. Shrub,N/A,One of 21 vegetation classes (Needleleaf evergreen tree; Shrub) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Shrub,N/A,One of 21 vegetation classes (Shrub) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
General_Vegetation_-1hot-_Shrub. Grass,N/A,One of 21 vegetation classes (Shrub; Grass) as one-hot data. The value is 1 if it is in the class or class combination in the variable name and 0 if it is not.,numeric,column_header
GFE,kilojoules_per_degree_Celsius_per_mole,Gibbs free energy of the carbon oxidation half reaction under standard conditions. Calculated as per LaRowe and Van Cappellen; 2011.,numeric,column_header
GL_lat,decimal_degrees_WGS1984,Latitude of WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems)/GLORICH (GLObal RIver Chemistry Database) site collocating to RiverAtlas site.,numeric,column_header
GL_lon,decimal_degrees_WGS1984,Longitude of WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems)/GLORICH (GLObal RIver Chemistry Database) site collocating to RiverAtlas site.,numeric,column_header
gla_pc_cse,percent,Glacier extent over reach catchment.,numeric,column_header
gla_pc_use,percent,Glacier extent over all upstream watershed.,numeric,column_header
gwt_cm_cav,centimeters,Mean ground water table depth over reach catchment.,numeric,column_header
hdi_ix_cav,index,Average human development index over reach catchment.,numeric,column_header
hft_ix_c09,index,Human footprint index over reach catchment.,numeric,column_header
hft_ix_u09,index,Human footprint index over all upstream watershed.,numeric,column_header
Hydrogeomorphology_-1hot-_Multi-channel,N/A,One of 4 river hydrogeomorphology classes (Multi-channel) as one-hot data. The value is 1 if it is in the class in the variable name and 0 if it is not.,numeric,column_header
Hydrogeomorphology_-1hot-_Multi-channel/Braided,N/A,One of 4 river hydrogeomorphology classes (Multi-channel/Braided) as one-hot data. The value is 1 if it is in the class in the variable name and 0 if it is not.,numeric,column_header
Hydrogeomorphology_-1hot-_Single-channel meandering,N/A,One of 4 river hydrogeomorphology classes (Single-channel meandering) as one-hot data. The value is 1 if it is in the class in the variable name and 0 if it is not.,numeric,column_header
Hydrogeomorphology_-1hot-_Single-channel straight,N/A,One of 4 river hydrogeomorphology classes (Single-channel straight) as one-hot data. The value is 1 if it is in the class in the variable name and 0 if it is not.,numeric,column_header
ID,N/A,Feature ID (i.e. a unique number given to each input variable for the machine learning (ML) models that is assigned on-the-fly depending on which features are being plotted from the feature permutation index (FPI) analysis).,numeric,column_header
Importance,N/A,Feature permutation importance improvement ratio.,numeric,column_header
Intermittent_or_Perennial_-1hot-_Intermittent,N/A,One of two river presence classes (Intermittent) as one-hot data. The value is 1 if it is in the class in the variable name and 0 if it is not.,numeric,column_header
Intermittent_or_Perennial_-1hot-_Perennial,N/A,One of two river presence classes (Perennial) as one-hot data. The value is 1 if it is in the class in the variable name and 0 if it is not.,numeric,column_header
ire_pc_cse,percent,Irrigated area extent (Equipped) over reach catchment.,numeric,column_header
ire_pc_use,percent,Irrigated area extent (Equipped) over all upstream watershed.,numeric,column_header
kar_pc_cse,percent,Karst areal extent over reach catchment.,numeric,column_header
kar_pc_use,percent,Karst areal extent over all upstream watershed.,numeric,column_header
lamO2,N/A,Thermodynamic efficiency (defined by lambda) at pH 7 (Song et al.; 2022).,numeric,column_header
lamO20,N/A,Thermodynamic efficiency (defined by lambda) at standard state pH 0 (Song et al.; 2020).,numeric,column_header
lat,decimal_degrees_WGS1984,Latitude of WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems)/GLORICH (GLObal RIver Chemistry Database)/RiverAtlas site (some files have all sites merged for easy plotting).,numeric,column_header
lon,decimal_degrees_WGS1984,Longitude of WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems)/GLORICH (GLObal RIver Chemistry Database)/RiverAtlas site (some files have all sites merged for easy plotting).,numeric,column_header
Macrophyte_Coverage,N/A,Estimated macrophyte cover in the river. One of the following classes may be selected: >70%; 30-70%; 5-30%; or none. For machine learning (ML) these text classes are converted to an integer scale: 4; 3; 2; 1 respectively.,numeric,column_header
